description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
sabriel daughter necromancer abhorsen must journey mysterious magical old kingdom rescue father land dead,311,sabriel (adult),garth nix,2004,http://books.google.com/books/content?id=ugSPY6Gi_Y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2765,21,
place dead deadly dying cross builder cross burner cross pattern life form like cheap shadow wall love left must crawl wherever crawl strongest know death final happiest gifted shortest journey,288,slouching toward nirvana,charles bukowski,2006,http://books.google.com/books/content?id=L_7nlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,poetry,1632,22,
exploring past influence present author discus understand individual unique coping style tap extraordinary quality human spirit create transition victim victor,272,bad childhood---good life,laura schlessinger,2006,http://books.google.com/books/content?id=2sepdlitBW8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,self-help,1995,24,
beautiful serene village molena point california type place people go get away harsher reality lifewhich attracted classic film star patty rose buy village inn settle enjoy golden year town gather celebrate honor beautiful aging actress festival old film patty brutally murderedto horror shock peaceful burg gentle tortoiseshell cat kit enjoying retreat animalloving actress inn shes spending time feline friend dulcie slick tomcat sleuth joe grey relaxation cut short hears gunshot end patty life see dead body sprawled inn front step glimpse killer racing parking garage soon follows trail joe dulcie must follow nave kit trail keep getting serious trouble complicate matter joe discovers dulcie hiding runaway childone lucky human special cat choose talk towho kidnapped likely man killed famous friend end little girl abduction lead patty killer feline friend unitedbut must mourn departed friend stand beside newly laid grave patty rose,385,cat cross their graves,shirley rousseau murphy,2005,http://books.google.com/books/content?id=L7LudFEjAdoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2105,23,
fur start flying gang la come tranquil molena point california begin breaking village quaint shop fur joe grey feline pi molena point home since kitten eating scrap garbage behind local delicatessen doesnt take well marauding stranger joe even wonder whether blonde who moved next human companion clyde could part gangshes acting pretty suspicious lately stranger start trapping caging feral catsspeaking cat like joe girlfriend dulcieit prof much intrepid fourfooted detective one gang murdered second mysterious death come light choice try stop crime joe dulcie tattercoat friend kit used stray deep investigation able release three trapped cat kit lead away freedom return wild life,375,cat breaking free,shirley rousseau murphy,2006,http://books.google.com/books/content?id=-yFbmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1845,30,
summer field glorious cape marlin new england coast nation best college player gather play important baseball life jack faber young hotshot pitcher unhittable slider rocket fastball play fabled seapuit seawolves dream making big show new coach scowling bruno riazzi former pro catcher resents kid celebrity status decides knock peg two stop nothing make happen humiliated jack loses lifelong art passion game well mysteriously ability throw devastated jack faber released st charles college roster seawolves coach wont give bring jack back cape marlin determined help rediscover lost talent find summer sun coach old friend standing end jack based true story slider celebrates national pastime game break grown men heart well make whole,416,slider,patrick robinson,2004,http://books.google.com/books/content?id=MCK_lgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,sports & recreation,2138,23,
1946 elizabeth short traveled hollywood become famous see name light instead darkhaired beauty became immortalized headline black dahlia nude bisected body discovered weed vacant lot despite effort four hundred police officer homicide investigator heinous crime never solved endless speculation false claim bestselling author donald h wolfe discovers startling new evidenceburied file los angeles district attorney office half century aid archival photo news clipping investigative report wolfe document riveting untold story name brutal murdererthe notorious mafia leader benjamin bugsy siegeland motivean unwanted pregnancy resulting short involvement powerful figure los angeles norman chandler wolfe go even unravel largescale coverup behind case wolfe extensive research based evidence discovered recently opened lada file make black dahlia file authoritative work murder drawn endless scrutiny remained unsolveduntil,448,the black dahlia files,don wolfe,2006,http://books.google.com/books/content?id=F6PpPrKuUaMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,true crime,2985,21,
alexandra barney barnaby roar onto miami beach scene hot pursuit missing baby brother wild bill leave maverick family get barney involved highspeed car chase search sunken treasure sam hooker nascar driver who good revving woman engine engaged deadly race bill borrowed hooker sixtyfivefoot hatteras sailed sunsetjust hooker plan boat hooker figure hell attach barney maybe run scumbag bill better yet maybe hell get lucky love bill sweetie pie sister pedal go metal barney hooker want first cross finish line save bill hooker boatand maybe world,374,metro girl,janet evanovich,2005,http://books.google.com/books/content?id=X0OYbJSjxqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1769,25,
alexandra barney barnaby return take whole new set bad guy florida heat colorful dangerous character highstakes adventure romancing gorgeous race car driver sam hooker actionpacked sequel metro girl 1000000 first printing,312,motor mouth,janet evanovich,2006,http://books.google.com/books/content?id=mG5p4QA2zOwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2015,23,
child sean devine jimmy marcus dave boyle friend strange car pulled street one boy got car two something terrible happened something ended friendship changed three boy forever twentyfive year later sean homicide detective jimmy excon owns corner store dave trying hold marriage together keep demon bay demon urge terrible thing jimmy daughter found murdered sean assigned case investigation brings conflict jimmy find old criminal impulse tempt solve crime brutal justice dave came home night jimmy daughter died covered someone el blood tense unnerving psychological thriller mystic river also epic novel love loyalty faith family people irrevocably marked past find collision course darkest truth hidden self,416,mystic river,dennis lehane,2003,http://books.google.com/books/content?id=2U-ivgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2208,21,
