description,num_pages,book_Title,Book_Author,year_of_Publication,image,categoryname,price,inStock,category
thought date world actually world weve bad date nightmare date dreadful experience turned uniquely memorable worst way least partner detestable evening le human kim harrison lynsay sand kelley armstrong lori handeland four best writer currently exploring dangerous seduction supernatural offer dating disaster unexpected delight completely different sort dark wicked paranormally sensual assignation werewolf demon lover romantically challenged undead sexy witty chilling altogether remarkable proof positive love match made someplace heaven,416,dates from hell,kim harrison;lynsay sands;kelley armstrong;lori handeland,2006,http://books.google.com/books/content?id=D07pnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1332,21,
powerful literary classic one contemporary fiction acclaimed important writer russell banks continental drift masterful novel hope lost gained gripping indelible story fragile life uprooted transformed injustice disappointment seduction reality american dream,408,continental drift,russell banks,2007,http://books.google.com/books/content?id=VDRLPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2938,24,
bookseller bernie rhodenbarrs lovewith exotic eastern european beauty share obsession humphrey bogart movie he heaven munching popcorn new amour every night bogart film festivaluntil casablancaesque idyll cut short secret passion burglary he hired pilfer portfolio valuable document park avenue apartment bernie hardly refuse occupant early return force bernie flee emptyhandedand soon find implicated murder say stole strawberry he hunting killer neck outrageous intrigue tiny balkan nation menaced sinister fat men unsavory toady great bogie butted head pursuit darn bird,400,the burglar who thought he was bogart,lawrence block,2006,http://books.google.com/books/content?id=TaXSmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2368,20,
loved one missing body part blonde becoming extinct everyone dinner table specie human chimpanzee differ 400 gene chimp fetus resembles human worry u there new genetic cure drug addictionis worse disease live time momentous scientific leap time possible sell egg sperm online thousand dollar test spouse genetic malady live time one fifth gene owned someone else unsuspecting person family pursued crosscountry happen certain valuable gene within chromosome devilishly clever next blend fact fiction breathless tale new world nothing seems set new possibility open every turn next challenge sense reality notion morality balancing comic bizarre genuinely frightening disturbing next shatters assumption reveals shocking new choice least expect future closer think,431,next,michael crichton,2006,http://books.google.com/books/content?id=ss1hXL1PTYIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1469,24,
sixteenyearold steph landry find old book popular decides change social status following advice much bafflement two best friend,288,how to be popular,meg cabot,2006,http://books.google.com/books/content?id=uRsWyFiZcIkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1732,30,
charlotte web one america bestloved childrens book seamless plot poignant delineation character live childrens literature forever written seeming ease fluency make reading engrossing effortless annotated charlotte web open door creator workshop allows reader glance shoulder one exacting fastidious american writer watching form masterpiece,320,the annotated charlotte's web,e. b. white,2006,http://books.google.com/books/content?id=vaYYHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,juvenile nonfiction,1910,28,
wilbur pig move new farm scared meet charlotte friendly spider,32,charlotte's web: wilbur finds a friend,jennifer frantz,2006,http://books.google.com/books/content?id=Syl29aq6kTEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2472,23,
one gabriel garca mrquezs intricate ambitious work autumn patriarch brilliant tale caribbean tyrant corruption power charity deceit benevolence violence fear god extreme cruelty dictator autumn patriarch embodies best worst human nature gabriel garca mrquez renowned master magical realism vividly portrays dying tyrant caught prison dictatorship employing innovative dreamlike style overflowing symbolic description novel transport reader world fanciful real,255,the autumn of the patriarch,gabriel garcia marquez,2006,http://books.google.com/books/content?id=OMqGpe7qqFoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2798,25,
claudia corvette tousled bedroom hair nameall porn star world take name supermodel sport carsshe adult entertainment prototypical femme fatale life collision countless troubledchildhood cliche grownup wet dream projected onto surely video project blue light onto lonely men around world first panel make money like porn star draw reader dark world girl like claudia men fantasize monster control hand rolling stone writer neil strauss illustrator bernard chang adult graphic novel weave together black humor blacker reality like great american story feature humble beginning lifechanging tragedy stripping abuse implant fame addiction bigger implant abduction gunplay downfall even bigger implant mention thousand shade latex loreal part parody part morality tale truth porn life outsized visual splendor captured comic parade doeeyed centerfold essence distilled story haunt every reader ever wondered next fantasy coming,128,how to make money like a porn star,neil strauss;bernard chang,2006,http://books.google.com/books/content?id=y7XAOeCeMcAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,comics & graphic novels,2451,21,
year life two young girl growing wisconsin frontier help mother daily chore enjoy father story singing share special occasion get together relative neighbor,198,little house in the big woods,laura ingalls wilder,2007,http://books.google.com/books/content?id=7JctNysS3xkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1188,30,
end nineteenth century nineyearold almanzo life family big farm new york state raise two calf help cut ice shear sheep longs day colt,357,farmer boy,laura ingalls wilder,2006,http://books.google.com/books/content?id=YapzZwOTEDoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2821,23,
october blizzard lauras family move claim shanty town winter winter indian predicted seven month bad weather newbery honor book reissue,422,the long winter,laura ingalls wilder,2007,http://books.google.com/books/content?id=Il_yCqjP6N0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2885,30,
laura spends fifteenth summer working hard help send mary college blind,374,little town on the prairie,laura ingalls wilder,2007,http://books.google.com/books/content?id=LFvnVkq3ZUwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1865,26,
first four year marriage laura almanzo wilder child fight losing battle attempt succeed farming south dakota prairie reissue,126,the first four years,laura ingalls wilder,2007,http://books.google.com/books/content?id=_HqHxm0kuIUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2912,22,
heart afraid suffer boy told alchemist one night looked moonless sky tell heart fear suffering worse suffering heart ever suffered go search dream every decade book published change life reader forever alchemist book million half copy sold around world alchemist already established modern classic universally admired paulo coelhos charming fable available english first time enchant inspire even wider audience reader generation come alchemist magical story santiago andalusian shepherd boy yearns travel search worldly treasure extravagant ever found home spain journey market tangier across egyptian desert fateful encounter alchemist story treasure santiago find along way teach u story done essential wisdom listening heart learning read omen strewn along life path following dream,192,the alchemist - gift edition,paulo coelho,2006,http://books.google.com/books/content?id=h6QuJZffgHYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2415,20,
liz goldwyn lifelong fascination inimitable glamour classic burlesque inspired spend past eight year corresponding visiting interviewing receiving striptease lesson forming close relationship last generation great american burlesque queeens goldwyn invite u step back era hourglass figure vogue striptease true art form meet betty ball fire rowland known flaming red hair bumpandgrind routine turn sued author grandfather samuel goldwyn jr using stage name costume hollywood picture ball fire meet sherry britton long black hair curvy trim physique among stunning burlesque star mayor laguardia outlawed burlesque new york meet zorita whose sexually explicit consummation wedding snake dance performed live snake daring performance earned legendary status goldwyn draw back curtain reveal personal journey yesteryear icon female sexuality power restoring legacy age forgotten themdespite today resurgence burlesque,304,pretty things,liz goldwyn,2006,http://books.google.com/books/content?id=2NhyQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,1121,22,
ambassador tenthcentury caliph bagdad carried norseman endure three year harshness way life creature terrorize,304,eaters of the dead,michael crichton,2006,http://books.google.com/books/content?id=o2yu6uJF2SoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2251,20,
genome mapped mean arguably significant scientific discovery new century mapping twentythree pair chromosome make human genome raise almost many question answer question profoundly impact way think disease longevity free question affect rest life genome offer extraordinary insight ramification incredible breakthrough picking one newly discovered gene pair chromosome telling story matt ridley recount history specie ancestor dawn life brink future medicine huntington disease cancer application gene therapy horror eugenics matt ridley probe scientific philosophical moral issue arising result mapping genome help understand scientific milestone mean child humankind,344,genome,matt ridley,2006,http://books.google.com/books/content?id=h2zcDWshkEkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,science,2881,22,
five day terrorist attack decimates home city brian remy struggle gap memory pertaining selfinflicted gunshot wound girlfriend whose name know deteriorating eyesight situation challenged recruited gather information shadowy intelligence operation 100000 first printing,336,the zero,jess walter,2006,http://books.google.com/books/content?id=x5JrBQ4bfLsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1723,30,
deliciously funny delectably shocking banquet wildbuttrue tale life culinary trade chef anthony bourdain laying quartercentury drug sex haute cuisinenow allnew neverbeforepublished material,312,kitchen confidential updated ed,anthony bourdain,2007,http://books.google.com/books/content?id=bxLbZ2kGddIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2680,29,
deepening thinking begun myth analysis revisioning psychology james hillman develops first new view dream since freud jung,256,dream & the underwor,james hillman,1979,http://books.google.com/books/content?id=-vMpuwPRVFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,psychology,2721,26,
highly original satire oedipa maas woman find enmeshed worldwide conspiracy meet extremely interesting character attains inconsiderable amount self knowledge,152,the crying of lot 49,thomas pynchon,1966,http://books.google.com/books/content?id=njOBt0OWKOQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1449,27,
book instantly captured heart reader across country american childhood pulitzer prizewinning author annie dillards poignant vivid memoir growing pittsburgh 1950s,255,an american childhood,annie dillard,1988,http://books.google.com/books/content?id=tRihTvnOM-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2278,20,
compelling assembly writing pulitzer prizewinning author annie dillard explores world natural fact human meaning,177,teaching a stone to talk,annie dillard,1988,http://books.google.com/books/content?id=pY5llwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,2237,21,
1975 annie dillard took residence island puget sound wooded room furnished one enormous window one cat one spider one person next two year asked question time reality sacrifice death god holy firm writes moth consumed candle flame sevenyearold girl burned airplane accident baptism cold beach behind moving curtain call hard thing rock mountain salt sea see sometimes far sometimes close veil air power play holy fire profound book natural world beauty cruelty pulitzer prizewinning dillard know well,76,holy the firm,annie dillard,1988,http://books.google.com/books/content?id=ps1LlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,2037,30,
material contained volume originally presented form talk student teacher parent india keen penetration lucid simplicity deeply meaningful thoughtful people everywhere age every walk life krishnamurti examines characteristic objectivity insight expression pleased call culture education religion politics tradition throw much light basic emotion ambition greed envy desire security lust power show deteriorating factor human society editor note krishnamurtis observation exploration modern man estate penetrating profound yet given disarming simplicity directness listen read thought face oneself world astonishing morning freshness anne marrow lindbergh,258,think on these things,jiddu krishnamurti,1989,http://books.google.com/books/content?id=QzzbmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,religion,2896,22,
dance intimacy bestselling author dance anger outline step take good relationship strengthened difficult one healed taking careful look relationship intimacy challengedby distance intensity painshe teach u specific change make achieve solid sense self intimate connectedness others combining clear advice vivid case example dr lerner offer u solid helpful book intimate relationship woman men may ever encounter,255,the dance of intimacy,harriet lerner,1990,http://books.google.com/books/content?id=tTKc8Aw-GFUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,psychology,1083,23,
author recount experience initiate voodoo practice haiti jamaica 1930s,311,tell my horse,zora neale hurston,1990,http://books.google.com/books/content?id=CgolTH6AR8gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1224,22,
john buddy pearson young black man becomes popular pastor zion hope unable reconcile good intention natural instinct,229,jonah's gourd vine,zora neale hurston,1990,http://books.google.com/books/content?id=g8KrkJIcFgYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2037,30,
legend say something happened chaneysville chaneysville incident powerful story one man obsession discovering something wasa quest take brilliant bitter young black historian john washington back secret buried evil heritage returning home care bury father closest friend guardian old jack crawley come upon scant record family proud tragic history drive reconstruct accept story john relationship family town woman love also past present oppression guilt hate violence love acceptance,448,the chaneysville incident,david bradley,1990,http://books.google.com/books/content?id=zYOcrhUIRX4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,1947,20,
annie dillard written eleven book including memoir parent american childhood northwest pioneer epic living nonfiction narrative pilgrim tinker creek gregarious recluse member american academy art letter,113,the writing life,annie dillard,1990,http://books.google.com/books/content?id=leBs_fzkNdkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,2802,20,
unsparing hilarious account one man rediscovery america search perfect small town,299,the lost continent,bill bryson,1990,http://books.google.com/books/content?id=3139wFo58H4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,travel,1746,23,
stunning collection annie dillards popular book one volume,617,three by annie dillard,annie dillard,1990,http://books.google.com/books/content?id=dRo8SwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1574,27,
acclaimed author people history united state present honest piercing look american political ideology,341,declarations of independence,howard zinn,1991,http://books.google.com/books/content?id=f1wmvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,political science,2331,22,
collection short story appeared literary magazine author lifetime along previously unpublished work span career one century foremost africanamerican writer reprint,336,the complete stories,zora neale hurston,1996,http://books.google.com/books/content?id=t2NozDINo3UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2135,20,
whistleblowing historian richard shenkman skewer nonsense taught world revolution religion hero inventor whirlwind tour history queen victoria may usually worn black loved drink party english conned world war ii winston churchill famous finest hour radio broadcast delivered winston churchill norman shelley actor hired churchill standin marie antoinette say let eat cake churchill didnt coin phrase iron curtain caesar never said et tu brute scandal english monarchy nothing new fifteen king fathered child wedlock one queen helped depose husband lover could take place three english king gay eclectic eccentric edifying fun richard shenkmans eyeopening revelation prove much history indeed fable agreed upon,320,"legends, lies & cherished myths of world history",richard shenkman,1994,http://books.google.com/books/content?id=k_x45UzKZkwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,1733,20,
selling 65000 copy topping bestseller list around world including spain germany italy latin america novel tell engrossing story one man quest love soul,384,the infinite plan,isabel allende,1994,http://books.google.com/books/content?id=80pDRgAcJKIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1933,28,
companion volume care soul offer thomas moore inspiring wisdom empathy expands idea life love mystery human relationship care soul thomas moore explored importance nurturing soul struck chord nationwide book became longterm bestseller topping chart across country selling 550000 copy hardcover paperback combined building book wisdom soul mate already hardcover bestseller explores relationship kind enhance life fulfill need soul moore emphasizes difficulty inevitably accompany many relationship focus need work difference order experience deep reward come intimacy unconfined love,288,soul mates,thomas moore,1994,http://books.google.com/books/content?id=7syElddx2b0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,psychology,1439,25,
illuminating look monumental invention middle age author life medieval castle,368,"cathedral, forge and waterwheel",joseph gies,1995,http://books.google.com/books/content?id=Rw0oTHwz264C&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,2107,28,
awardwinning poet novelista musthave collection four previous book poetry plus selection new unpublished work,240,the throne of the third heaven of the nations millennium general assembly,denis johnson,1996,http://books.google.com/books/content?id=RCRllwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,poetry,1798,26,
sucess story exceptionally varied yet coherent collection russell bank prof one astute forceful writer america today queen day success story adultery trace fortune painter family pursuit retreat american dream bank also explores ethos rampant materialism group contemporary moral fable fish evocating parable faith greed set southeast asian village gully tell profitability violence irony upward mobility latin american shantytown chrildrens story explores repressed rage boil beneath surface relationship parent child citizen first third world,192,success stories,russell banks,1996,http://books.google.com/books/content?id=bGIs7R90isEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1979,30,
milan kundera established one great novelist time book unbearable lightness immortality book laughter forgetting testament betrayed prof brilliant defender moral right artist respect due work art creator wish betrayal bothoften passionate proponentsis principal theme extraordinary work reader particularly intrigued kunderas impassioned attack society shifting moral judgment persecution art artist mayakovsky rushdie,288,testaments betrayed,milan kundera,1996,http://books.google.com/books/content?id=gWzdD3wGV8MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary collections,2776,28,
hijuelos novel tell story mr ives adopted foundling home child first meet 1950s mr ives much product time successful career advertising wife two child belief way pursuing typical american dream dream shattered son robert studying priesthood killed violently christmas overwhelmed grief threatened loss faith humankind mr ives begin question foundation life part love storyof man wife child godand part meditation person find spiritual peace midst crisis mr ives christmas beautifully written tender passionate story man trying put life perspective expert hand oscar hijuelos novel speaks eloquently basic fulfilling aspect life u,256,mr. ives' christmas,oscar hijuelos,1996,http://books.google.com/books/content?id=Z7XK28QOcWAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2821,29,
milan kunderas lightest novel divertimento opera buffa slowness also first author fictional work written french disconcerted enchanted reader follows narrator slowness midsummer night two tale seduction separated two hundred year interweave oscillate sublime comic underlying libertine fantasy profound meditation contemporary life secret bond slowness memory connection era desire forget way given demon speed dancer possessed passion seen life merely perpetual show emptied every intimacy every joy,156,slowness,milan kundera,1997,http://books.google.com/books/content?id=czPAd_xrPyMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1937,25,
tell story man whose botched circumcision baby subsequent surgical alteration female mistakenly used argument success procedure,320,as nature made him,john colapinto,2001,http://books.google.com/books/content?id=92jVVLpg3rcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,medical,2060,23,
ordinarily event change path impersonal affair yet extremely personal teacher juan matsus said guiding apprentice collect considered memorable event life juan described total goal shamanistic knowledge handled preparation facing definitive journey journey every human take end life said modern man referred vaguely life death shaman concrete region filled capacity practical affair different order practical affair daily life yet bearing similar functional practicality juan considered collect memorable life shaman preparation entrance concrete region called active side infinity book written immediately death anthropologist shaman carlos castaneda give u autobiographical intimately revealing work ever fruit lifetime experience perhaps moving volume oeuvre,288,the active side of infinity,carlos castaneda,1999,http://books.google.com/books/content?id=e82-B-6eh7gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"body, mind & spirit",1146,22,
huxley classic prophetic novel describes socialized horror futuristic utopia devoid individual freedom,288,brave new world,aldous huxley,1998,http://books.google.com/books/content?id=-iU5Aq3WuGgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1831,23,
novelist george webber driven hometown successful autobiographical novel infuriates family friend depicted,711,you can't go home again,thomas wolfe,1998,http://books.google.com/books/content?id=0yMZeA9tHOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1258,29,
elijah biblical prophet middle east ninth century bc confronts pagan princess jezebel find love strange land zarephath young widow newfound happiness shattered tragedy,256,the fifth mountain,paulo coelho,1999,http://books.google.com/books/content?id=HKq_H_z2XsYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1140,24,
wild macabre tale twentieth century two men one looking something lost nothing much lose v unknown woman title,547,v.,thomas pynchon,1999,http://books.google.com/books/content?id=jqS2pmUIfOAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2877,27,
situation fail moment recognize person identity erased simultaneously doubt also happens couplesindeed couple lover fear anything else losing sight loved one stunning artfulness expanding playing variation meaningful moment milan kundera made situationand vague sense panic inspiresthe fabric new novel brevity go hand hand intensity moment bewilderment mark start labyrinthine journey reader repeatedly cross border real unreal occurs world outside mind creates solitude contemporary writer kundera transform hidden disconcerting perception material novel one finest painful enlightening surprisingly turn love story,168,identity,milan kundera,1999,http://books.google.com/books/content?id=mXPU2T--gPQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1587,25,
nathan price evangelical baptist 1959 taken wife four daughter mission belgian congo find tradition longer secure different world reprint 250000 first printing,546,the poisonwood bible,barbara kingsolver,1999,http://books.google.com/books/content?id=xl1mxRJd00MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2468,28,
triumph imagination masterpiece modern storytelling cloudsplitter narrated enigmatic owen brown last surviving son america famous still controversial political terrorist martyr john brown deeply researched brilliantly plotted peopled cast unforgettable character historical wholly invented cloudsplitter dazzling recreation political social landscape history year civil war slavery tearing country apart within broader scope russell bank given u riveting suspenseful heartbreaking narrative filled intimate scene domestic life violence action battle romance familial life death make reader feel astonishing way like alive time,758,cloudsplitter,russell banks,1999,http://books.google.com/books/content?id=gri4AX2RVSEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1257,21,
youre facing dilemma whether handling relationship living ethically dealing career change finding meaning life world important thinker century past help guide toward solution compatible individual belief kirkegaards thought coping death chings guideline adapting change plato prozac make philosophy accessible show use solve everyday problem gone need expensive therapist medication lengthy analysis clearly organized common problem help tailor dr lou marinoffs advice need intelligent effective persuasive prescription selfhealing therapy giving psychotherapy run money,320,"plato, not prozac!",lou marinoff,2000,http://books.google.com/books/content?id=CZgACbdCRB8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,philosophy,2572,20,
learning executor exlovers oedipa maas start strange journey southern california 1960s,152,the crying of lot 49,thomas pynchon,1999,http://books.google.com/books/content?id=vp2Sv9KO1VUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1933,29,
enthralling glimpse life william smith nineteenthcentury engineer became founding father modern geology explores creation lavish map detailing discovery rock comprised many different layer amidst backdrop wife madness debtor prison author professor madman reprint,352,the map that changed the world,simon winchester;soun vannithone,2002,http://books.google.com/books/content?id=W523pFmahJQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,2694,28,
eloquent translation homer odyssey modern english,374,the odyssey of homer,homer,1999,http://books.google.com/books/content?id=kNbrSH8Lbz8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2322,26,
renowned master magical realism gabriel garcia marquez long delighted reader around world exquisitely crafted prose brimming unforgettable character set exotic locale fiction transport reader world fanciful haunting real leaf storm gabriel garcia marquezs first novella introduces mythical village macondo desolate town beset torrent rain man must fulfill promise made year earlier one writes colonel novella life decaying tropical town colombia unforgettable central character chronicle death foretold dark profound story three people joined together fatal act violence,288,collected novellas,gabriel garcia marquez,1999,http://books.google.com/books/content?id=JRcVuuSBh5cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2643,20,
collected twentysix gabriel garcia marquezs brilliant enchanting short story presented chronological order publication spanish three volume eye blue dogbig mama funeral incredible sad tale lnnocent erndira heartless grandmother combining mysticism history humor story collection span two decade illuminating development marquezs prose exhibiting theme family poverty death resound throughout fiction,352,collected stories,gabriel garcia marquez,1999,http://books.google.com/books/content?id=DksnCgBzb3oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2164,30,
bobby jobe pro golfer whose swing better attitude bogy last four hole blow lead major tournament berates caddy henry greyhound mote jobe loses greyhound walk course game day hell lose eyesight lightning strike future golf unless one ever done blind make comeback bob cullens funny wise story full pga lore perfectly capture mysterious irresistible nature game golf mention love friendship life,400,a mulligan for bobby jobe,robert cullen,2002,http://books.google.com/books/content?id=6XAkcx5J6w4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2892,21,
known leopard president zaire thirtytwo year mobutu sese seko showed cunning namesake seducing western power buying opposition dominating people devastating combination brutality charm population pauperized plundered country copper diamond resource downing pink champagne jungle palace like modernday reincarnation joseph conrad crazed station manager michela wrong correspondent witnessed mobutus last day trace rise fall idealistic young journalist became stereotype african despot engrossing highly readable funny tragic footstep mr kurtz ass act villain hero fascinating story democratic republic congo,338,in the footsteps of mr. kurtz,michela wrong,2002,http://books.google.com/books/content?id=etTVmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,history,2469,27,
every tongue got confess extensive volume african american folklore zora neale hurston collected travel gulf state late 1920s bittersweet often hilarious tale range longer narrative god devil white folk mistaken identity witty oneliners reveal attitude faith love family slavery race community together collection nearly 500 folktale weave vibrant tapestry celebrates african american life rural south represents major part zora neale hurstons literary legacy,320,every tongue got to confess,zora neale hurston,2002,http://books.google.com/books/content?id=85HAlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,literary criticism,2015,21,
new york city chef author gone bamboo recount,302,kitchen confidential,anthony bourdain,2000,http://books.google.com/books/content?id=ehIM1VKYSWYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,1502,24,
william faulkner literary genius one america important influential writer drawing previously unavailable source including letter memoir interview faulkner daughter lover jay parini crafted biography delf mystery gifted troubled writer faulkner extremely talented obsessive artist plagued alcoholism bad marriage somehow transcends limitation parini weave tragedy triumph faulkner life novel serving biography thats engaging insightful,528,one matchless time,jay parini,2005,http://books.google.com/books/content?id=oXpAlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,biography & autobiography,1836,28,
great depression bound nation despair privileged risen exorbitantly wealthy huckster feed upon diego seventeenyearold illegal mexican immigrant owes salvation master grifter thomas schell together schells gruff powerful partner sail comfortably hard time scamming new york grieving rich elaborate ingeniously staged sances impossible occurrence change everything communing spirit schell see image young girl pane glass silently entreating con man help though well aware otherworldly power sham schell inexplicably offer service help find lost child drawing diego along tangled maze deadly secret terrible experimentation hypnotically compelling mystery stunningly evocative portrait depressionera new york girl glass masterly literary adventure writer exemplary vision skill,304,the girl in the glass,jeffrey ford,2005,http://books.google.com/books/content?id=mgYTlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,1663,24,
matt ridley suggests science simply search new form ignorance perhaps follows science advance come new question human genetic engineering become commonplace human cloning ever safe many universe much climate change coming century best american science writing 2002 gather top writer scientist covering latest development fastestchanging farthestreaching scientific field medicine genetics computer technology evolutionary psychology cuttingedge physic environment among year selection madetoorder savior lisa belkin spotlight two desperate family seeking unprecedented cure medically ethically unprecedented mean creating genetically matched child margaret talbot desire duplicate reveals first human clone may likely come entirely unexpected source sooner think michael specter report shock wave rippling field neuroscience following revolutionary discovery adult brain cell might fact regenerate rethinking brain christopher dickey love glow bunny recount sly humor peculiar episode genetic engineering artistic culture collide natalie angier draw insightful contrast suicide terrorist rescue worker risk life find sympathy altruism definite place evolution human nature david berlinskis brings world ponders idea biology physic essentially digital technology exploring mystery encoded universe smallest unit cell quantum nicholas wade show one controversial book year skeptical environmentalist former greenpeace member selfdescribed leftist bjorn lomborg debunks cherished tenet environmental movement suggesting thing perhaps bad weve led believe counterpoint darcy frey profile george divoky reveals dedicated researcher whose love bird mystery lead sobering discovery global warming forcefully reminds u unsung hero science put long hour fill small detail take great trouble end unanswered question sustain scientific inquiry open new frontier knowledge lead new technology medical treatment best american science writing 2002 series exciting report science front line dont know every bit important know,352,the best american science writing 2002,matt ridley;alan lightman,2002,http://books.google.com/books/content?id=p8yA_CtoUx0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,science,2487,29,
october 25 1946 crowded room cambridge england great twentiethcentury philosopher ludwig wittgenstein karl popper came face face first time meeting lasted ten minute go well loud aggressive confrontation became stuff instant legend precisely happened brief confrontation remained decade subject intense disagreement engaging mix philosophy history biography literary detection wittgenstein poker explores popperwittgenstein confrontation history philosophy twentieth century evokes tumult findesicle vienna wittgenteins popper birthplace tragedy nazi takeover austria postwar cambridge university eccentric set philosophy don including bertrand russell center story stand two giant philosophy proud irascible larger life spoiling fight,368,wittgenstein's poker,david edmonds;john eidinow,2002,http://books.google.com/books/content?id=9Ahdyu6ygXEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,philosophy,2574,22,
larry j koenig phd creator hugely popular smart discipline seminar explains simple dramatically effective system help child follow rule home school easily tailoredto difference age temperament need child addadhd positive result usually seen within day best instead nagging parent use dr koenigs powerful esteembuilding strategy affirm childrens strength smart discipline system get kid ask first time ask stop fighting bickering disrespectful language end hassle homework chore messy room bedtime instills positive selfimage build confidence much,208,smart discipline(r),larry koenig,2004,http://books.google.com/books/content?id=Bpo2r2iKcKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,family & relationships,2734,21,
suddenly confronted mortality routine checkup eminent psychotherapist julius hertzfeld forced reexamine life work seek philip slate sex addict failed help twenty year earlier yet philip claim cured miraculously transformed pessimistic teaching german philosopher arthur schopenhauer philosophical counselor training philip dour misanthropic stance compels julius invite philip join intensive therapy group exchange tutoring schopenhauer mere month left life may far short help philip compete heart mind group member might long enough,358,the schopenhauer cure,irvin yalom,2006,http://books.google.com/books/content?id=aDG4lgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,fiction,2086,23,
